Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years,BRef_Register_ID,BRef_Register_URL,Resolve_Status,Resolve_Method,Resolve_Reason,Birth_Year,Birth_Country,Birth_State,Chadwick_Name,Chadwick_Key
Nolan Gorman,nolan gorman,nolan,gorman,33,2022,2022,2B/3B,St. Louis Cardinals,MLB,26,4,2019;2020;2021;2022,gorman000nol,https://www.baseball-reference.com/register/player.fcgi?id=gorman000nol,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1996; minor_id=gorman000nol; attempts=exact_full_name=1,2000.0,,,Nolan Gorman,5d335b7c
Ryan Waldschmidt,ryan waldschmidt,ryan,waldschmidt,33,2026,2026,OF,Arizona Diamondbacks,MLB,23,1,2026,waldsc000rya,https://www.baseball-reference.com/register/player.fcgi?id=waldsc000rya,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2003; minor_id=waldsc000rya; attempts=exact_full_name=1,2002.0,,,Ryan Waldschmidt,639db00c
Sean Murphy,sean murphy,sean,murphy,33,2020,2020,C,Atlanta Braves,MLB,31,2,2019;2020,murphy005sea,https://www.baseball-reference.com/register/player.fcgi?id=murphy005sea,resolved,chadwick_name_match_with_minor_id,matches=13; selected_birth_year=1988.0; approx_birth_year=1989; minor_id=murphy005sea; attempts=exact_full_name=13,1988.0,,,Sean Murphy,f4b39429
A.J. Ewing,a j ewing,a,ewing,34,2026,2026,OF/2B,New York Mets,MLB,21,1,2026,ewing-000aj-,https://www.baseball-reference.com/register/player.fcgi?id=ewing-000aj-,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=ewing-000aj-; attempts=exact_full_name=1,2004.0,,,A. J. Ewing,22839689
Leody Taveras,leody taveras,leody,taveras,34,2018,2018,OF,Baltimore Orioles,MLB,27,2,2017;2018,tavera000leo,https://www.baseball-reference.com/register/player.fcgi?id=tavera000leo,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1991; minor_id=tavera000leo; attempts=exact_full_name=1,1998.0,,,Leody Taveras,cc538e0d
Randy Arozarena,randy arozarena,randy,arozarena,34,2021,2021,OF,Seattle Mariners,MLB,31,1,2021,arroza000ran,https://www.baseball-reference.com/register/player.fcgi?id=arroza000ran,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1990; minor_id=arroza000ran; attempts=exact_full_name=1,1995.0,,,Randy Arozarena,d3eebd0c
Aiva Arquette,aiva arquette,aiva,arquette,35,2026,2026,SS,Miami Marlins,A+,22,1,2026,arquet000aiv,https://www.baseball-reference.com/register/player.fcgi?id=arquet000aiv,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2004; minor_id=arquet000aiv; attempts=exact_full_name=1,2003.0,,,Aiva Arquette,c6265a30
Jeferson Quero,jeferson quero,jeferson,quero,35,2024,2025,C,Milwaukee Brewers,AAA,23,2,2024;2025,quero-000jef,https://www.baseball-reference.com/register/player.fcgi?id=quero-000jef,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=quero-000jef; attempts=exact_full_name=1,2002.0,,,Jeferson Quero,284f81ec
Robert Hassell III,robert hassell,robert,hassell,35,2023,2023,OF,Washington Nationals,AAA,24,3,2021;2022;2023,hassel002rob,https://www.baseball-reference.com/register/player.fcgi?id=hassel002rob,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=hassel002rob; attempts=exact_full_name=1,2001.0,,,Robert Hassell,65c98c07
Scott Kingery,scott kingery,scott,kingery,35,2018,2018,INF/OF,Chicago Cubs,AAA,32,1,2018,kinger000sco,https://www.baseball-reference.com/register/player.fcgi?id=kinger000sco,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=kinger000sco; attempts=exact_full_name=1,1994.0,,,Scott Kingery,4dac4d42
Keibert Ruiz,keibert ruiz,keibert,ruiz,36,2019,2021,C,Washington Nationals,MLB,27,4,2018;2019;2020;2021,ruiz--000kei,https://www.baseball-reference.com/register/player.fcgi?id=ruiz--000kei,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=ruiz--000kei; attempts=exact_full_name=1,1998.0,,,Keibert Ruiz,d80d2c11
Kevin Parada,kevin parada,kevin,parada,36,2023,2023,C,New York Mets,AAA,24,1,2023,parada000kev,https://www.baseball-reference.com/register/player.fcgi?id=parada000kev,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=parada000kev; attempts=exact_full_name=1,2001.0,,,Kevin Parada,a4671e60
Nolan Jones,nolan jones,nolan,jones,36,2021,2021,OF/3B,Cleveland Guardians,AAA,28,3,2019;2020;2021,jones-000nol,https://www.baseball-reference.com/register/player.fcgi?id=jones-000nol,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1993; minor_id=jones-000nol; attempts=exact_full_name=1,1998.0,,,Nolan Jones,51cc2a77
Tyler O'Neill,tyler o'neill,tyler,o'neill,36,2017,2018,OF,Baltimore Orioles,MLB,30,2,2017;2018,oneill000tyl,https://www.baseball-reference.com/register/player.fcgi?id=oneill000tyl,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=oneill000tyl; attempts=exact_full_name=3,1995.0,,,Tyler O'Neill,76d31fbd
Blake Rutherford,blake rutherford,blake,rutherford,37,2017,2018,OF,—,—,29,2,2017;2018,ruther001bla,https://www.baseball-reference.com/register/player.fcgi?id=ruther001bla,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1995.0; approx_birth_year=1989; minor_id=ruther001bla; attempts=exact_full_name=2,1995.0,,,Blake Rutherford,94ae9f3c
Cole Young,cole young,cole,young,37,2024,2025,2B/SS,Seattle Mariners,MLB,22,2,2024;2025,young-006col,https://www.baseball-reference.com/register/player.fcgi?id=young-006col,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=young-006col; attempts=exact_full_name=3,2003.0,,,Cole Young,0fa3d8c7
Edward Florentino,edward florentino,edward,florentino,37,2026,2026,OF/1B,Pittsburgh Pirates,A+,19,1,2026,floren000edw,https://www.baseball-reference.com/register/player.fcgi?id=floren000edw,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=floren000edw; attempts=exact_full_name=1,2006.0,,,Edward Florentino,6dd169fa
Emmanuel Rodriguez,emmanuel rodriguez,emmanuel,rodriguez,37,2025,2026,OF,Minnesota Twins,AAA,23,4,2023;2024;2025;2026,rodrig003emm,https://www.baseball-reference.com/register/player.fcgi?id=rodrig003emm,resolved,chadwick_name_match_with_minor_id,matches=5; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=rodrig003emm; attempts=exact_full_name=5,2003.0,,,Emmanuel Rodriguez,63b30d6a
Miguel Vargas,miguel vargas,miguel,vargas,37,2023,2023,3B/OF/1B,Chicago White Sox,MLB,26,2,2022;2023,vargas004mig,https://www.baseball-reference.com/register/player.fcgi?id=vargas004mig,resolved,chadwick_name_match_with_minor_id,matches=9; selected_birth_year=1995.0; approx_birth_year=1997; minor_id=vargas004mig; attempts=exact_full_name=9,1995.0,,,Miguel Vargas,37f0b26c
Austin Riley,austin riley,austin,riley,38,2019,2019,3B,Atlanta Braves,MLB,29,2,2018;2019,riley-000aus,https://www.baseball-reference.com/register/player.fcgi?id=riley-000aus,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1990; minor_id=riley-000aus; attempts=exact_full_name=2,1997.0,,,Austin Riley,9c38fff5
Eduardo Quintero,eduardo quintero,eduardo,quintero,38,2026,2026,OF,Los Angeles Dodgers,A+,20,1,2026,quinte000edu,https://www.baseball-reference.com/register/player.fcgi?id=quinte000edu,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=quinte000edu; attempts=exact_full_name=1,2005.0,,,Eduardo Quintero,f3b62c67
Harry Ford,harry ford,harry,ford,38,2024,2025,C,Washington Nationals,AAA,23,4,2022;2023;2024;2025,ford--003har,https://www.baseball-reference.com/register/player.fcgi?id=ford--003har,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=ford--003har; attempts=exact_full_name=2,2003.0,,,Harry Ford,026acf79
Nick Kurtz,nick kurtz,nick,kurtz,38,2025,2025,1B,Athletics,MLB,23,1,2025,kurtz-000nic,https://www.baseball-reference.com/register/player.fcgi?id=kurtz-000nic,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=kurtz-000nic; attempts=exact_full_name=1,2003.0,,,Nick Kurtz,4d9ac392
Orelvis Martinez,orelvis martinez,orelvis,martinez,38,2022,2024,2B/3B,Washington Nationals,AAA,24,2,2022;2024,martin001ore,https://www.baseball-reference.com/register/player.fcgi?id=martin001ore,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=martin001ore; attempts=exact_full_name=1,2001.0,,,Orelvis Martinez,b5376e51
Carson Kelly,carson kelly,carson,kelly,39,2017,2018,C,Chicago Cubs,MLB,31,2,2017;2018,kelly-001car,https://www.baseball-reference.com/register/player.fcgi?id=kelly-001car,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1994.0; approx_birth_year=1987; minor_id=kelly-001car; attempts=exact_full_name=3,1994.0,,,Carson Kelly,3a165059
Jesús Sánchez,jesus sanchez,jesus,sanchez,39,2019,2020,OF,Toronto Blue Jays,MLB,28,3,2018;2019;2020,sanche006jes,https://www.baseball-reference.com/register/player.fcgi?id=sanche006jes,resolved,chadwick_name_match_with_minor_id,matches=11; selected_birth_year=1995.0; approx_birth_year=1992; minor_id=sanche006jes; attempts=exact_full_name=11,1995.0,,,Jesus Sanchez,46eafc7e
Kaelen Culpepper,kaelen culpepper,kaelen,culpepper,39,2026,2026,SS,Minnesota Twins,AAA,23,1,2026,culpep000kae,https://www.baseball-reference.com/register/player.fcgi?id=culpep000kae,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2003; minor_id=culpep000kae; attempts=exact_full_name=1,2002.0,,,Kaelen Culpepper,f0ad7579
Tyler Soderstrom,tyler soderstrom,tyler,soderstrom,39,2023,2023,C/1B,Athletics,MLB,24,2,2022;2023,soders000tyl,https://www.baseball-reference.com/register/player.fcgi?id=soders000tyl,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=soders000tyl; attempts=exact_full_name=1,2001.0,,,Tyler Soderstrom,204bb1da
Nick Madrigal,nick madrigal,nick,madrigal,40,2021,2021,2B,Los Angeles Angels,AAA,29,3,2019;2020;2021,madrig000nic,https://www.baseball-reference.com/register/player.fcgi?id=madrig000nic,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=madrig000nic; attempts=exact_full_name=2,1997.0,,,Nick Madrigal,425cf43d
Ryan McMahon,ryan mcmahon,ryan,mcmahon,41,2018,2018,1B/2B/3B,New York Yankees,MLB,31,1,2018,mcmaho000rya,https://www.baseball-reference.com/register/player.fcgi?id=mcmaho000rya,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1994.0; approx_birth_year=1987; minor_id=mcmaho000rya; attempts=exact_full_name=3,1994.0,,,Ryan McMahon,6731e251
Hunter Renfroe,hunter renfroe,hunter,renfroe,42,2017,2017,OF,Kansas City Royals,MLB,34,1,2017,renfro002dus,https://www.baseball-reference.com/register/player.fcgi?id=renfro002dus,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1992.0; approx_birth_year=1983; minor_id=renfro002dus; attempts=exact_full_name=1,1992.0,,,Hunter Renfroe,3f9f1577
Mike Sirota,mike sirota,mike,sirota,42,2026,2026,OF,Los Angeles Dodgers,A+,22,1,2026,sirota000mic,https://www.baseball-reference.com/register/player.fcgi?id=sirota000mic,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2004; minor_id=sirota000mic; attempts=exact_full_name=1,2003.0,,,Mike Sirota,ccaddb75
Konnor Griffin,konnor griffin,konnor,griffin,43,2025,2025,SS,Pittsburgh Pirates,MLB,20,1,2025,griffi000kon,https://www.baseball-reference.com/register/player.fcgi?id=griffi000kon,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2005; minor_id=griffi000kon; attempts=exact_full_name=1,2006.0,,,Konnor Griffin,6c48a3d6
Kristian Robinson,kristian robinson,kristian,robinson,43,2020,2021,OF,Arizona Diamondbacks,AAA,25,2,2020;2021,robins000kri,https://www.baseball-reference.com/register/player.fcgi?id=robins000kri,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1996; minor_id=robins000kri; attempts=exact_full_name=1,2000.0,,,Kristian Robinson,fb076c31
Masyn Winn,masyn winn,masyn,winn,43,2024,2024,SS,St. Louis Cardinals,MLB,24,2,2023;2024,winn--000mas,https://www.baseball-reference.com/register/player.fcgi?id=winn--000mas,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2000; minor_id=winn--000mas; attempts=exact_full_name=1,2002.0,,,Masyn Winn,2cea04fb
Theo Gillen,theo gillen,theo,gillen,43,2026,2026,OF,Tampa Bay Rays,A+,20,2,2025;2026,gillen000the,https://www.baseball-reference.com/register/player.fcgi?id=gillen000the,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=gillen000the; attempts=exact_full_name=1,2005.0,,,Theo Gillen,02c500cb
Edwin Arroyo,edwin arroyo,edwin,arroyo,44,2023,2026,SS,Cincinnati Reds,AAA,22,4,2023;2024;2025;2026,arroyo001edw,https://www.baseball-reference.com/register/player.fcgi?id=arroyo001edw,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2003.0; approx_birth_year=2004; minor_id=arroyo001edw; attempts=exact_full_name=2,2003.0,,,Edwin Arroyo,5e9e3630
Estevan Florial,estevan florial,estevan,florial,44,2018,2019,OF,—,—,28,2,2018;2019,floria000est,https://www.baseball-reference.com/register/player.fcgi?id=floria000est,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1991; minor_id=floria000est; attempts=exact_full_name=1,1997.0,,,Estevan Florial,88154183
Jeter Downs,jeter downs,jeter,downs,44,2020,2021,SS,New York Yankees,AAA,27,2,2020;2021,downs-000jet,https://www.baseball-reference.com/register/player.fcgi?id=downs-000jet,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=downs-000jet; attempts=exact_full_name=1,1998.0,,,Jeter Downs,a9f038b3
Joe Mack,joe mack,joe,mack,44,2026,2026,C,Miami Marlins,MLB,23,1,2026,mack--004jos,https://www.baseball-reference.com/register/player.fcgi?id=mack--004jos,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2002.0; approx_birth_year=2003; minor_id=mack--004jos; attempts=exact_full_name=2,2002.0,,,Joe Mack,cb5bbb31
Luis Campusano,luis campusano,luis,campusano,44,2022,2022,C,San Diego Padres,MLB,27,3,2020;2021;2022,campus002lui,https://www.baseball-reference.com/register/player.fcgi?id=campus002lui,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1998.0; approx_birth_year=1995; minor_id=campus002lui; attempts=exact_full_name=2,1998.0,,,Luis Campusano,e6d1d015
Yordan Alvarez,yordan alvarez,yordan,alvarez,44,2019,2019,OF,Houston Astros,MLB,28,1,2019,alvare000yor,https://www.baseball-reference.com/register/player.fcgi?id=alvare000yor,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1991; minor_id=alvare000yor; attempts=exact_full_name=1,1997.0,,,Yordan Álvarez,6abe077d
Bryson Stott,bryson stott,bryson,stott,45,2022,2022,SS,Philadelphia Phillies,MLB,28,2,2020;2022,stott-000bry,https://www.baseball-reference.com/register/player.fcgi?id=stott-000bry,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1994; minor_id=stott-000bry; attempts=exact_full_name=1,1997.0,,,Bryson Stott,c40a6e81
Eduardo Tait,eduardo tait,eduardo,tait,45,2026,2026,C,Minnesota Twins,A+,19,2,2025;2026,tait--000edu,https://www.baseball-reference.com/register/player.fcgi?id=tait--000edu,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=tait--000edu; attempts=exact_full_name=1,2006.0,,,Eduardo Tait,be8132bf
Jett Williams,jett williams,jett,williams,45,2024,2026,3B/SS/OF,Milwaukee Brewers,AAA,22,3,2024;2025;2026,willia000jet,https://www.baseball-reference.com/register/player.fcgi?id=willia000jet,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2004; minor_id=willia000jet; attempts=exact_full_name=1,2003.0,,,Jett Williams,8e0b06b3
Vidal Bruján,vidal brujan,vidal,brujan,45,2020,2022,OF/2B/SS,New York Mets,MLB,28,3,2020;2021;2022,brujan000vid,https://www.baseball-reference.com/register/player.fcgi?id=brujan000vid,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=brujan000vid; attempts=exact_full_name=1,1998.0,,,Vidal Bruján,c218f6ec
Aaron Judge,aaron judge,aaron,judge,46,2017,2017,OF,New York Yankees,MLB,34,1,2017,judge-001aar,https://www.baseball-reference.com/register/player.fcgi?id=judge-001aar,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1992.0; approx_birth_year=1983; minor_id=judge-001aar; attempts=exact_full_name=1,1992.0,,,Aaron Judge,06c9f502
Bryce Rainer,bryce rainer,bryce,rainer,46,2026,2026,SS,Detroit Tigers,A+,20,2,2025;2026,rainer000bry,https://www.baseball-reference.com/register/player.fcgi?id=rainer000bry,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=rainer000bry; attempts=exact_full_name=1,2005.0,,,Bryce Rainer,832c18d6
Elijah Green,elijah green,elijah,green,46,2023,2023,OF,Washington Nationals,A+,22,1,2023,green-002eli,https://www.baseball-reference.com/register/player.fcgi?id=green-002eli,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2003.0; approx_birth_year=2001; minor_id=green-002eli; attempts=exact_full_name=2,2003.0,,,Elijah Green,79d0ce62
Jordan Groshans,jordan groshans,jordan,groshans,46,2021,2022,3B/SS,Atlanta Braves,AA,26,3,2020;2021;2022,grosha000jor,https://www.baseball-reference.com/register/player.fcgi?id=grosha000jor,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1996; minor_id=grosha000jor; attempts=exact_full_name=1,1999.0,,,Jordan Groshans,d8d70d60
Tyler Black,tyler black,tyler,black,46,2024,2024,1B,Milwaukee Brewers,AAA,25,1,2024,black-001tyl,https://www.baseball-reference.com/register/player.fcgi?id=black-001tyl,resolved,chadwick_name_match_with_minor_id,matches=6; selected_birth_year=2000.0; approx_birth_year=1999; minor_id=black-001tyl; attempts=exact_full_name=6,2000.0,,,Tyler Black,18a71616
Angel Genao,angel genao,angel,genao,47,2026,2026,SS,Cleveland Guardians,AAA,21,2,2025;2026,genao-001ang,https://www.baseball-reference.com/register/player.fcgi?id=genao-001ang,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=genao-001ang; attempts=exact_full_name=2,2004.0,,,Angel Genao,3e89b01c
Anthony Alford,anthony alford,anthony,alford,47,2018,2018,OF,—,—,31,2,2017;2018,alford000ant,https://www.baseball-reference.com/register/player.fcgi?id=alford000ant,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1987; minor_id=alford000ant; attempts=exact_full_name=1,1994.0,,,Anthony Alford,bca6e25a
George Valera,george valera,george,valera,47,2022,2023,OF,Cleveland Guardians,AAA,25,2,2022;2023,valera000geo,https://www.baseball-reference.com/register/player.fcgi?id=valera000geo,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1998; minor_id=valera000geo; attempts=exact_full_name=1,2000.0,,,George Valera,08740d77
Jorge Mateo,jorge mateo,jorge,mateo,47,2017,2018,SS/2B,Atlanta Braves,MLB,30,2,2017;2018,mateo-000jor,https://www.baseball-reference.com/register/player.fcgi?id=mateo-000jor,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=mateo-000jor; attempts=exact_full_name=1,1995.0,,,Jorge Mateo,80aea907
Owen Caissie,owen caissie,owen,caissie,47,2024,2025,OF,Miami Marlins,MLB,23,2,2024;2025,caissi000owe,https://www.baseball-reference.com/register/player.fcgi?id=caissi000owe,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=caissi000owe; attempts=exact_full_name=1,2002.0,,,Owen Caissie,9607e458
Blake Mitchell,blake mitchell,blake,mitchell,48,2025,2026,C,Kansas City Royals,A+,21,3,2024;2025;2026,mitche003bla,https://www.baseball-reference.com/register/player.fcgi?id=mitche003bla,resolved,chadwick_name_match_with_minor_id,matches=6; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=mitche003bla; attempts=exact_full_name=6,2004.0,,,Blake Mitchell,eecce28e
Brady House,brady house,brady,house,48,2024,2024,3B,Washington Nationals,MLB,22,2,2022;2024,house-000bra,https://www.baseball-reference.com/register/player.fcgi?id=house-000bra,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=house-000bra; attempts=exact_full_name=1,2003.0,,,Brady House,46939669
Michael Arroyo,michael arroyo,michael,arroyo,48,2026,2026,2B/OF,Seattle Mariners,AA,21,2,2025;2026,arroyo001mic,https://www.baseball-reference.com/register/player.fcgi?id=arroyo001mic,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=arroyo001mic; attempts=exact_full_name=2,2004.0,,,Michael Arroyo,e4ab67ba
Josh Lowe,josh lowe,josh,lowe,50,2022,2022,OF,Los Angeles Angels,MLB,28,1,2022,lowe--000jos,https://www.baseball-reference.com/register/player.fcgi?id=lowe--000jos,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=lowe--000jos; attempts=exact_full_name=1,1998.0,,,Josh Lowe,89993d7d
Nick Gordon,nick gordon,nick,gordon,50,2017,2018,SS/2B,Kansas City Royals,AAA,30,2,2017;2018,gordon000nic,https://www.baseball-reference.com/register/player.fcgi?id=gordon000nic,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=gordon000nic; attempts=exact_full_name=2,1995.0,,,Nick Gordon,e20baefe
MJ Melendez,mj melendez,mj,melendez,51,2022,2022,C,New York Mets,MLB,27,1,2022,melend000mj-,https://www.baseball-reference.com/register/player.fcgi?id=melend000mj-,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1995; minor_id=melend000mj-; attempts=exact_full_name=1,1998.0,,,MJ Melendez,38aff0a8
Michael Busch,michael busch,michael,busch,51,2024,2024,INF,Chicago Cubs,MLB,28,3,2022;2023;2024,busch-002mic,https://www.baseball-reference.com/register/player.fcgi?id=busch-002mic,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1996; minor_id=busch-002mic; attempts=exact_full_name=1,1997.0,,,Michael Busch,cb50fef1
Nico Hoerner,nico hoerner,nico,hoerner,51,2020,2020,SS/2B/OF,Chicago Cubs,MLB,29,2,2019;2020,hoerne000nic,https://www.baseball-reference.com/register/player.fcgi?id=hoerne000nic,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1991; minor_id=hoerne000nic; attempts=exact_full_name=1,1997.0,,,Nico Hoerner,14b34ae6
Pete Alonso,pete alonso,pete,alonso,51,2019,2019,1B,Baltimore Orioles,MLB,31,1,2019,alonso000pet,https://www.baseball-reference.com/register/player.fcgi?id=alonso000pet,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1988; minor_id=alonso000pet; attempts=exact_full_name=1,1994.0,,,Pete Alonso,e4bd060e
Xavier Isaac,xavier isaac,xavier,isaac,51,2025,2025,1B,Tampa Bay Rays,AA,22,2,2024;2025,isaac-000xav,https://www.baseball-reference.com/register/player.fcgi?id=isaac-000xav,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=isaac-000xav; attempts=exact_full_name=1,2003.0,,,Xavier Isaac,d6502bdf
Brandon Marsh,brandon marsh,brandon,marsh,52,2021,2021,OF,Philadelphia Phillies,MLB,28,2,2020;2021,marsh-000bra,https://www.baseball-reference.com/register/player.fcgi?id=marsh-000bra,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1993; minor_id=marsh-000bra; attempts=exact_full_name=2,1997.0,,,Brandon Marsh,42de9b3f
Franklin Barreto,franklin barreto,franklin,barreto,52,2017,2018,2B/SS,—,—,30,2,2017;2018,barret004fra,https://www.baseball-reference.com/register/player.fcgi?id=barret004fra,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1988; minor_id=barret004fra; attempts=exact_full_name=1,1996.0,,,Franklin Barreto,cf38bae6
Oswald Peraza,oswald peraza,oswald,peraza,52,2023,2023,SS/2B,Los Angeles Angels,MLB,25,2,2022;2023,peraza002osw,https://www.baseball-reference.com/register/player.fcgi?id=peraza002osw,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1998; minor_id=peraza002osw; attempts=exact_full_name=1,2000.0,,,Oswald Peraza,8debd41f
Billy Carlson,billy carlson,billy,carlson,53,2026,2026,SS,Chicago White Sox,A,19,1,2026,carlso000bil,https://www.baseball-reference.com/register/player.fcgi?id=carlso000bil,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=carlso000bil; attempts=exact_full_name=1,2006.0,,,Billy Carlson,9d1b186c
Drew Gilbert,drew gilbert,drew,gilbert,53,2024,2024,OF,San Francisco Giants,MLB,25,1,2024,gilber002and,https://www.baseball-reference.com/register/player.fcgi?id=gilber002and,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2000.0; approx_birth_year=1999; minor_id=gilber002and; attempts=exact_full_name=2,2000.0,,,Drew Gilbert,3a14b2dd
Jonathan India,jonathan india,jonathan,india,53,2019,2019,2B/3B,Kansas City Royals,MLB,29,1,2019,india-000joh,https://www.baseball-reference.com/register/player.fcgi?id=india-000joh,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1990; minor_id=india-000joh; attempts=exact_full_name=1,1996.0,,,Jonathan India,d19b960b
